name,source,gender,wikidata,type
"Amalie Skrams Allé",wikidata,F,Q291676,way
"Betty Nansens Allé",wikidata,F,Q4898939,way
"Bodil Ipsens Vej",wikidata,F,Q292795,way
"Clara Pontoppidans Vej",wikidata,F,Q540098,way
Dagmarsgade,wikidata,F,Q263412,way
"Dronning Dagmars Allé",wikidata,F,Q263412,way
"Dronning Louises Bro",wikidata,F,Q166028,way
"Dyvekes Allé",wikidata,F,Q436050,way
"Eli Møllers Bro",wikidata,F,Q18964157,way
"Else Alfelts Vej",wikidata,F,Q2308298,way
"Etta Camerons Vej",wikidata,F,Q466396,way
"Franciska Clausen Plads",wikidata,F,Q4943051,way
"Grethe Ingmanns Vej",wikidata,F,Q1546095,way
Gunhildsgade,wikidata,F,Q2887133,way
"Inge Lehmanns Vej",wikidata,F,Q256839,way
"Karen Blixens Plads",wikidata,F,Q182804,way
"Karin Nellemoses Vej",wikidata,F,Q1785267,way
"Kirsten Walthers Vej",wikidata,F,Q443401,way
"Lily Brobergs Vej",wikidata,F,Q1785299,way
"Lise Ringheims Vej",wikidata,F,Q4974907,way
"Lone Kellermanns Vej",wikidata,F,Q12324856,way
"Monica Zetterlunds Vej",wikidata,F,Q254527,way
"Natasjas Gade",wikidata,F,Q242325,way
"Nina Bangs Plads",wikidata,F,Q438609,way
"Sankt Annæ Plads",wikidata,F,Q164294,way
"Sigbrits Allé",wikidata,F,Q3354947,way
"Sofie Brahes Allé",wikidata,F,Q110303968,way
"Thit Jensens Vej",wikidata,F,Q543360,way
Thyrasgade,wikidata,F,Q242395,way
"Tove Maës Vej",wikidata,F,Q438574,way
"A.C. Meyers Vænge",wikidata,M,Q12151355,way
"A.F. Kriegers Vej",wikidata,M,Q2362184,way
Abildgaardsgade,wikidata,M,Q319854,way
Absalonsgade,wikidata,M,Q313548,way
"Anker Jørgensens Plads",wikidata,M,Q312881,way
"Arne Jacobsens Allé",wikidata,M,Q273572,way
"Asger Jorns Allé",wikidata,M,Q83578,way
"August Bournonvilles Passage",wikidata,M,Q448812,way
"Axel Heides Gade",wikidata,M,Q3378388,way
"Axel Strøbyes Vej",wikidata,M,Q792378,way
Axeltorv,wikidata,M,Q313548,way
Beethovensvej,wikidata,M,Q255,way
"Bellmans Plads",wikidata,M,Q312498,way
Bellmansgade,wikidata,M,Q312498,way
"Ben Websters Vej",wikidata,M,Q438460,way
"Bertel Thorvaldsens Plads",wikidata,M,Q47812,relation+way
"Borups Plads",wikidata,M,Q11986919,way
Brorsonsgade,wikidata,M,Q348003,way
"Bryggernes Plads",wikidata,M,Q719753;Q2567053,way
"Buster Larsens Vej",wikidata,M,Q1785294,way
"C.F. Richs Vej",wikidata,M,Q12304947,way
"Carl Jacobsens Vej",wikidata,M,Q2567053,way
"Carl Nielsens Allé",wikidata,M,Q205139,way
"Carl Th. Dreyers Vej",wikidata,M,Q51127,way
"Carl Th. Zahles Gade",wikidata,M,Q1040851,way
"Carsten Niebuhrs Gade",wikidata,M,Q57420,way
"Christen Bergs Allé",wikidata,M,Q321538,way
"Christian II's Allé",wikidata,M,Q154460,way
Classensgade,wikidata,M,Q82823,way
"Cort Adelers Gade",wikidata,M,Q553965,way
"Dag Hammarskjölds Allé",wikidata,M,Q1267,way
